,tune,chords
63,15,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
64,15,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'C7#9'), ('2', 'Fm'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Bm'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'G7#9')]"
65,16,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7')]"
66,16,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Fm7'), ('2', 'Dbm6'), ('4', 'Gbm7'), ('4', 'B7')]"
67,16,"[('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'E6'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]"
68,16,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7')]"
69,17,"[('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7')]"
70,17,"[('2', 'Ebmaj7'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Bb7'), ('1', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Am7'), ('1', 'G7b9')]"
71,17,"[('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7')]"
72,17,"[('1', 'Bbm7'), ('2', 'Eb7sus'), ('2', 'Eb7'), ('1', 'Abmaj7'), ('2', 'Abm6'), ('2', 'Dm7'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('4', 'Am7'), ('4', 'G7'), ('1', 'Cm')]"
73,18,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
74,18,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
75,18,"[('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11')]"
76,18,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
77,19,"[('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11')]"
78,19,"[('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11')]"
79,19,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Ebm7'), ('1', 'Am7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'G/C'), ('2', 'Dm7/G'), ('2', 'Edim/G'), ('2', 'Em7/G')]"
80,20,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'G7sus'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A9'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5')]"
81,20,"[('1', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Em7b5'), ('1', 'A7#5'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D9'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5')]"
82,20,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Bb9'), ('4', 'A7'), ('4', 'A7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
83,21,"[('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7')]"
84,21,"[('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7')]"
85,21,"[('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7/E'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm6'), ('2', 'Dbm/G'), ('2', 'G7')]"
86,22,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7')]"
87,22,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7')]"
