,tune,chords,notes
3195,3195,"[('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Cm6'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dmaj7'), ('2', 'C7#11'), ('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Cm6'), ('4', 'Cm7'), ('4', 'Bb7'), ('2', 'Ebmaj7'), ('2', 'G7'), ('2', 'Gbmaj7'), ('2', 'Dm7b9'), ('2', 'Gbmaj7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Cmaj7'), ('4', 'Cm7'), ('4', 'F7'), ('2', 'Bbmaj7'), ('2', 'Gm7')]","[65.0, 69.0, 72.0, 70.0, 70.0, 69.0, 70.0, 69.0, 67.0, 66.0, 71.0, 74.0, 73.0, 74.0, 72.0, 70.0, 67.0, 64.0, 65.0, 62.0, 58.0, 63.0, 66.0, 71.0, 68.0, 67.0, 68.0, 67.0]"
3196,3196,"[('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Cm6'), ('4', 'Bb7'), ('4', 'A7'), ('2', 'Ebm7'), ('2', 'Am7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'G7#5'), ('2', 'Gm7'), ('2', 'Bmaj7'), ('2', 'Fm7'), ('2', 'Ebm7'), ('2', 'Am7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'G7#5'), ('2', 'Gm7'), ('4', 'Gm7'), ('4', 'G7'), ('4', 'Am7'), ('4', 'A7'), ('4', 'Bb7'), ('4', 'C7'), ('4', 'Cmmaj7'), ('4', 'Gm7'), ('2', 'Bmaj7'), ('2', 'C7#11'), ('2', 'Bmaj7'), ('2', 'C7#11')]","[65.0, 67.0, 64.0, 67.0, 61.0, 67.0, 70.0, 69.0, 68.0, 68.0, 69.0, 68.0, 69.0, 76.0, 78.0, 79.0, 82.0, 79.0, 80.0, 80.0, 80.0, 77.0, 75.0, 77.0, 75.0, 70.0, 67.0, 63.0, 65.0, 60.0, 59.0, 55.0, 60.0]"
3197,3197,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Am'), ('1', 'AmM7'), ('1', 'Am7'), ('1', 'Am6'), ('1', 'Am'), ('1', 'AmM7'), ('1', 'Am7'), ('1', 'Am6'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'G7sus'), ('1', 'G7sus'), ('1', 'G7sus'), ('1', 'G7sus'), ('1', 'G7#5'), ('1', 'G7#5'), ('1', 'Cmaj7'), ('1', 'Am7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 67.0, 63.0, 65.0, 70.0, 68.0, 65.0, 61.0, 57.0, 64.0, 62.0, 61.0, 60.0, 58.0, 60.0, 57.0, 58.0, 60.0, 63.0, 67.0, 65.0, 63.0, 60.0, 65.0, 65.0, 64.0, 62.0, 60.0, 61.0, 58.0, 55.0, 53.0]"
3198,3198,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Em7'), ('1', 'Em7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Dm7'), ('1', 'Em7'), ('1', 'Fmaj7'), ('1', 'G7sus'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]","[65.0, 65.0, 67.0, 68.0, 67.0, 70.0, 67.0, 68.0, 69.0, 77.0, 75.0, 76.0, 72.0, 73.0, 74.0, 70.0, 67.0, 65.0, 64.0, 60.0, 58.0, 56.0, 48.0, 50.0, 51.0, 50.0, 50.0, 53.0, 56.0, 58.0, 61.0, 64.0]"
3199,3199,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'A9#5'), ('1', 'Dm7'), ('1', 'A9#5')]","[65.0, 67.0, 65.0, 63.0, 63.0, 67.0, 65.0, 63.0]"
3200,3200,"[('1', 'Dm7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Adim7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7')]","[65.0, 72.0, 69.0, 67.0, 69.0, 72.0, 73.0, 71.0]"
3201,3201,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Bm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'A9#5'), ('1', 'Dm7'), ('2', 'Gm7'), ('2', 'Dbm7')]","[65.0, 68.0, 69.0, 67.0, 72.0, 71.0, 71.0, 68.0, 68.0]"
3202,3202,"[('1', 'Fmaj7'), ('1', 'Gbdim7'), ('1', 'Dbm7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Dbm6'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 67.0, 64.0, 65.0, 67.0, 65.0, 64.0, 63.0, 61.0]"
3203,3203,"[('2', 'Cm6'), ('2', 'Bbm6'), ('2', 'Abmaj7'), ('2', 'G7#5'), ('2', 'Cm6'), ('2', 'A7'), ('2', 'Dm7b5'), ('2', 'Dm7'), ('2', 'Cm6'), ('2', 'Bbm6'), ('2', 'Abmaj7'), ('2', 'G7#5'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Bb7'), ('2', 'A7b5')]","[65.0, 67.0, 68.0, 67.0, 65.0, 67.0, 70.0, 69.0, 68.0, 66.0, 67.0, 62.0, 65.0, 67.0, 68.0, 68.0]"
3204,3204,"[('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6')]","[65.0, 69.0, 72.0, 67.0, 65.0, 63.0, 62.0, 60.0]"
3205,3205,"[('2', 'Cm6'), ('2', 'Bbm6'), ('2', 'Abmaj7'), ('2', 'G7#5'), ('2', 'Cm6'), ('2', 'A7'), ('2', 'Dm7b5'), ('2', 'Dm7'), ('2', 'Cm6'), ('2', 'Bbm6'), ('2', 'Abmaj7'), ('2', 'G7#5'), ('2', 'Cm7'), ('2', 'F7'), ('2', 'Bb7'), ('2', 'A7b5')]","[65.0, 63.0, 65.0, 67.0, 62.0, 58.0, 64.0, 73.0, 70.0, 68.0, 70.0, 68.0, 63.0, 68.0, 73.0, 71.0]"
3206,3206,"[('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6')]","[65.0, 64.0, 62.0, 60.0, 58.0, 62.0, 57.0, 59.0]"
3207,3207,"[('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Bb7b9'), ('2', 'Ebmaj7'), ('2', 'Am7'), ('2', 'Gm7'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Fm7'), ('2', 'Bb7b9'), ('2', 'Ebmaj7'), ('2', 'Am7b5'), ('2', 'Dm7b9'), ('2', 'Am7b5')]","[65.0, 64.0, 67.0, 71.0, 72.0, 73.0, 72.0, 70.0, 67.0, 69.0, 70.0, 69.0, 67.0, 66.0]"
3208,3208,"[('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'G7'), ('1', 'G7'), ('1', 'Cm6'), ('1', 'Cm6')]","[65.0, 60.0, 61.0, 60.0, 58.0, 64.0, 65.0, 64.0]"
3209,3209,"[('1', 'Cmaj7'), ('1', 'Em7'), ('1', 'Fmaj7'), ('2', 'Cmaj7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7')]","[65.0, 63.0, 58.0, 58.0, 63.0, 58.0, 65.0, 61.0, 58.0]"
3210,3210,"[('1', 'Cmaj7'), ('1', 'Em7'), ('1', 'Fmaj7'), ('2', 'Cmaj7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7')]","[65.0, 63.0, 62.0, 61.0, 66.0, 70.0, 66.0, 61.0, 66.0]"
3211,3211,"[('1', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Bbmaj7'), ('2', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'G7'), ('1', 'G7')]","[65.0, 67.0, 84.0, 79.0, 77.0, 74.0, 77.0, 76.0, 75.0, 73.0, 67.0]"
3212,3212,"[('1', 'Cmaj7'), ('1', 'Em7'), ('1', 'Fmaj7'), ('2', 'Cmaj7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Fm6'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'G7')]","[65.0, 67.0, 66.0, 64.0, 63.0, 61.0, 56.0, 56.0, 66.0, 70.0, 75.0, 70.0, 74.0]"
3213,3213,"[('1', 'Cm7'), ('2', 'D7#9#5'), ('2', 'G7'), ('1', 'Cm7'), ('2', 'D7b9#5'), ('2', 'G7'), ('1', 'Cm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('1', 'Am7b5'), ('1', 'D7b9')]","[65.0, 69.0, 71.0, 73.0, 74.0, 74.0, 68.0, 67.0, 65.0, 62.0, 64.0]"
3214,3214,"[('1', 'Gm7'), ('2', 'A7#9#5'), ('2', 'D7'), ('1', 'Gm7'), ('2', 'A7b9#5'), ('2', 'D7'), ('1', 'Gm7'), ('2', 'Cm7'), ('2', 'Gm7'), ('2', 'A7#5'), ('2', 'D7#9'), ('1', 'Gm7')]","[65.0, 63.0, 61.0, 63.0, 65.0, 66.0, 70.0, 70.0, 71.0, 70.0, 69.0, 71.0]"
3215,3215,"[('1', 'Gm7'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Ebmaj7'), ('2', 'D7#9'), ('2', 'G7')]","[65.0, 69.0, 69.0, 69.0, 65.0, 62.0, 59.0, 64.0, 59.0]"
3216,3216,"[('1', 'Cm7'), ('2', 'D7#9#5'), ('2', 'G7'), ('1', 'Cm7'), ('2', 'D7b9#5'), ('2', 'G7'), ('1', 'Cm7'), ('2', 'Fm7'), ('2', 'Cm7'), ('2', 'D7#5'), ('2', 'G7#9'), ('2', 'Cm7'), ('2', 'G7')]","[65.0, 63.0, 65.0, 62.0, 59.0, 68.0, 66.0, 67.0, 66.0, 63.0, 66.0, 68.0, 70.0]"
3217,3217,"[('1', 'Cm'), ('1', 'Cm'), ('1', 'Bdim7'), ('1', 'Bdim7'), ('1', 'Bbm6'), ('1', 'Bbm6'), ('1', 'F7/A'), ('1', 'F7/A'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dbmaj7#11'), ('1', 'Dbmaj7#11'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cm'), ('2', 'Cm'), ('2', 'Cm7')]","[65.0, 67.0, 69.0, 72.0, 69.0, 64.0, 67.0, 67.0, 66.0, 65.0, 63.0, 62.0, 63.0, 65.0, 63.0, 60.0, 55.0]"
3218,3218,"[('1', 'Bbm6'), ('1', 'Bbm6'), ('1', 'Adim7'), ('1', 'Adim7'), ('1', 'Abmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Cm'), ('2', 'Cm7'), ('1', 'Bbm7'), ('1', 'Eb7'), ('1', 'Am7'), ('1', 'D7b9'), ('1', 'Abmaj7'), ('1', 'G7b9'), ('1', 'Cm'), ('1', 'Cm')]","[65.0, 67.0, 65.0, 61.0, 62.0, 58.0, 55.0, 57.0, 63.0, 65.0, 69.0, 72.0, 74.0, 76.0, 77.0, 75.0, 74.0, 72.0]"
3219,3219,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Fm6/C'), ('1', 'Cm6'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Em6'), ('1', 'Em6')]","[65.0, 63.0, 60.0, 61.0, 58.0, 56.0, 55.0, 57.0, 59.0, 61.0, 62.0, 61.0, 60.0, 63.0]"
3220,3220,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Fm6/C'), ('1', 'Cm6'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Em6'), ('1', 'Em6')]","[65.0, 63.0, 65.0, 61.0, 58.0, 58.0, 58.0, 56.0, 51.0, 54.0, 58.0, 54.0, 60.0, 58.0]"
3221,3221,"[('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Em6'), ('1', 'Em6'), ('1', 'Gm7'), ('1', 'C7'), ('1', 'Bm6'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'Gbm7'), ('1', 'Bm7'), ('1', 'Bm7'), ('1', 'Bm7')]","[65.0, 69.0, 65.0, 64.0, 65.0, 63.0, 62.0, 65.0, 62.0, 71.0, 68.0, 69.0, 72.0, 74.0, 62.0]"
3222,3222,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Fm6/C'), ('1', 'Cm6'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Em6'), ('1', 'Em6')]","[65.0, 68.0, 61.0, 66.0, 61.0, 56.0, 52.0, 56.0, 54.0, 61.0, 60.0, 65.0, 69.0, 71.0]"
3223,3223,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Gbm7b5'), ('2', 'Gbdim7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 63.0, 65.0, 63.0, 62.0, 63.0, 65.0, 64.0, 66.0, 69.0]"
3224,3224,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Gbm7b5'), ('2', 'Gbdim7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 72.0, 65.0, 67.0, 63.0, 66.0, 65.0, 64.0, 62.0, 60.0]"
3225,3225,"[('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'D7')]","[65.0, 69.0, 72.0, 69.0, 70.0, 69.0, 67.0, 73.0, 65.0]"
3226,3226,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Gbm7b5'), ('2', 'Gbdim7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 68.0, 65.0, 65.0, 62.0, 65.0, 65.0, 65.0, 74.0, 73.0]"
3227,3227,"[('2', 'Cm'), ('2', 'G7/D'), ('2', 'Cm'), ('2', 'Cm7'), ('2', 'Am7b5'), ('2', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'D7'), ('2', 'G7'), ('2', 'Am7'), ('1', 'G7b9'), ('1', 'Cm')]","[65.0, 67.0, 72.0, 63.0, 61.0, 60.0, 59.0, 63.0, 67.0, 64.0, 63.0, 61.0, 58.0, 64.0]"
3228,3228,"[('2', 'Cm'), ('2', 'G7/D'), ('2', 'Cm'), ('2', 'Cm7'), ('2', 'Am7b5'), ('2', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'D7'), ('2', 'G7'), ('2', 'Am7'), ('1', 'G7b9'), ('1', 'Cm')]","[65.0, 67.0, 64.0, 60.0, 58.0, 60.0, 58.0, 60.0, 64.0, 65.0, 64.0, 59.0, 55.0, 68.0]"
3229,3229,"[('1', 'Fm7'), ('1', 'Bm7'), ('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'Ebm7'), ('1', 'Am7'), ('2', 'Am7b5'), ('2', 'Am7'), ('2', 'G7sus'), ('2', 'G7')]","[65.0, 63.0, 69.0, 67.0, 69.0, 65.0, 67.0, 69.0, 72.0, 70.0]"
3230,3230,"[('2', 'Cm'), ('2', 'G7/D'), ('2', 'Cm'), ('2', 'Cm7'), ('2', 'Am7b5'), ('2', 'Am7'), ('1', 'G7b9'), ('2', 'Cm'), ('2', 'D7'), ('2', 'G7'), ('2', 'Am7'), ('1', 'G7b9'), ('1', 'Cm')]","[65.0, 67.0, 69.0, 70.0, 72.0, 70.0, 72.0, 75.0, 65.0, 64.0, 58.0, 57.0, 55.0]"
3231,3231,"[('2', 'Dm7'), ('2', 'Em7'), ('2', 'Gbm6'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Gbm6'), ('2', 'G7'), ('1', 'Em7b5'), ('1', 'A7b9')]","[65.0, 72.0, 72.0, 72.0, 75.0, 72.0, 75.0, 79.0, 77.0, 73.0, 74.0, 75.0, 77.0, 78.0]"
3232,3232,"[('1', 'Dm7'), ('2', 'Fm7'), ('2', 'Bm7'), ('1', 'Ebmaj7'), ('2', 'Ebmaj7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'Em7b5'), ('2', 'Am7b5'), ('2', 'D7b9'), ('1', 'Gmaj7'), ('2', 'G7'), ('2', 'G7#5')]","[65.0, 68.0, 65.0, 67.0, 70.0, 68.0, 66.0, 68.0, 70.0, 73.0, 70.0, 69.0, 67.0]"
3233,3233,"[('2', 'Dm7'), ('2', 'Em7'), ('2', 'Gbm6'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('4', 'A7'), ('4', 'Am7'), ('2', 'Gm7'), ('2', 'Am7'), ('2', 'Bbm6'), ('2', 'C7b13'), ('2', 'Fm6'), ('2', 'Ebm7'), ('1', 'Dm7')]","[65.0, 69.0, 67.0, 55.0, 71.0, 72.0, 68.0, 63.0, 65.0, 63.0, 58.0, 62.0, 58.0, 63.0, 65.0, 67.0]"
3234,3234,"[('2', 'Cm7'), ('2', 'G7b9'), ('2', 'Cm7'), ('4', 'Bbm7'), ('4', 'Em7'), ('2', 'Abmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Fm6'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Cm'), ('2', 'A7b9')]","[65.0, 67.0, 63.0, 60.0, 63.0, 62.0, 74.0, 72.0, 71.0, 70.0, 71.0, 69.0, 66.0, 62.0, 60.0, 58.0]"
3235,3235,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7#9'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'E7#11'), ('2', 'Bm9'), ('1', 'A7b9'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 65.0, 68.0, 72.0, 70.0, 68.0, 63.0, 64.0, 65.0, 63.0, 62.0, 58.0, 57.0, 56.0, 55.0]"
3236,3236,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Am7'), ('2', 'Am7/G'), ('1', 'Gbm7b5'), ('2', 'Gbm7'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gbm7b5'), ('2', 'Gbm9'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'G7sus')]","[65.0, 63.0, 61.0, 62.0, 63.0, 64.0, 71.0, 70.0, 67.0, 63.0, 69.0, 70.0, 71.0, 73.0, 76.0]"
3237,3237,"[('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7#9'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'E7#11'), ('2', 'Bm9'), ('1', 'A7b9'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 67.0, 68.0, 70.0, 67.0, 65.0, 62.0, 66.0, 62.0, 66.0, 69.0, 67.0, 64.0, 65.0, 67.0]"
3238,3238,"[('2', 'Cmaj7'), ('2', 'Dbm7'), ('2', 'Am7'), ('2', 'Gm7'), ('1', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Bm9'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Gb7/G'), ('2', 'G13'), ('1', 'Dbm69'), ('2', 'Dm7'), ('2', 'G7sus')]","[65.0, 63.0, 59.0, 57.0, 62.0, 59.0, 66.0, 64.0, 63.0, 62.0, 60.0, 59.0, 58.0, 56.0]"
3239,3239,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em11'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7')]","[65.0, 69.0, 67.0, 65.0, 64.0, 60.0, 57.0, 55.0, 56.0, 58.0, 59.0]"
3240,3240,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em11'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7')]","[65.0, 65.0, 65.0, 61.0, 58.0, 61.0, 67.0, 64.0, 67.0, 70.0, 69.0]"
3241,3241,"[('1', 'Emaj7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'Emaj7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dmaj7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('1', 'G7b5')]","[65.0, 67.0, 69.0, 67.0, 68.0, 72.0, 66.0, 64.0, 63.0, 60.0, 61.0]"
3242,3242,"[('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em11'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 60.0, 63.0, 60.0, 58.0, 57.0, 53.0, 70.0, 71.0, 73.0, 72.0, 67.0, 66.0]"
3243,3243,"[('2', 'Cm6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Cm6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Cm6'), ('2', 'Emaj7'), ('2', 'Ebm7'), ('2', 'Ab7b13'), ('1', 'Dbm7'), ('1', 'Gm7')]","[65.0, 67.0, 67.0, 67.0, 67.0, 65.0, 62.0, 59.0, 63.0, 65.0, 63.0, 60.0, 58.0, 57.0]"
3244,3244,"[('1', 'Dbm7'), ('1', 'Ddim7'), ('2', 'Ebm7'), ('2', 'Gm7'), ('1', 'Bmaj7'), ('1', 'Fm7b5'), ('1', 'Bb7b9'), ('2', 'Ebm7'), ('2', 'Ab7'), ('2', 'Dbm7'), ('2', 'Gm7')]","[65.0, 68.0, 66.0, 70.0, 63.0, 63.0, 63.0, 63.0, 68.0, 67.0, 69.0]"
3245,3245,"[('2', 'Cm6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Cm6'), ('2', 'Abm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Cm6'), ('2', 'Emaj7'), ('2', 'Ebm7'), ('2', 'Ab7b13'), ('1', 'Gbm7'), ('1', 'Cm7')]","[65.0, 67.0, 69.0, 64.0, 61.0, 60.0, 58.0, 57.0, 61.0, 64.0, 66.0, 63.0, 66.0, 67.0]"
3246,3246,"[('1', 'Fm6'), ('1', 'Fdim7'), ('1', 'Cm6'), ('1', 'Abm7'), ('1', 'Fm7b5'), ('1', 'Bb7b13'), ('1', 'Ebm7b5'), ('1', 'Ab7b9'), ('1', 'Dbm7'), ('1', 'Gm7'), ('1', 'Cm6'), ('2', 'Dbm7'), ('2', 'Gm7')]","[65.0, 60.0, 63.0, 59.0, 61.0, 62.0, 65.0, 64.0, 62.0, 66.0, 64.0, 62.0, 64.0]"
3247,3247,"[('1', 'Dbm6'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Dbm6'), ('1', 'A7'), ('1', 'D7'), ('1', 'Abm7'), ('2', 'Dbm6'), ('2', 'E7'), ('1', 'Am7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em'), ('1', 'D7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6')]","[65.0, 68.0, 58.0, 61.0, 64.0, 67.0, 65.0, 61.0, 64.0, 67.0, 70.0, 73.0, 72.0, 71.0, 69.0, 63.0, 58.0, 62.0, 65.0]"
3248,3248,"[('1', 'Gbm7'), ('1', 'Gbm7'), ('1', 'Dbm6'), ('1', 'Dbm6'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em'), ('1', 'D7'), ('1', 'Abm7')]","[65.0, 69.0, 71.0, 68.0, 62.0, 64.0, 65.0, 67.0, 65.0]"
3249,3249,"[('1', 'Dbm6'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Dbm6'), ('2', 'Dm7'), ('2', 'Abm7')]","[65.0, 67.0, 65.0, 63.0, 60.0, 65.0, 69.0, 70.0, 70.0, 68.0]"
3250,3250,"[('1', 'C6'), ('1', 'C6'), ('1', 'Am7'), ('1', 'Am7'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 63.0, 74.0, 71.0, 69.0, 71.0, 67.0, 68.0]"
3251,3251,"[('1', 'C6'), ('1', 'C6'), ('1', 'Am7'), ('1', 'Am7'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 63.0, 65.0, 75.0, 67.0, 73.0, 73.0]"
3252,3252,"[('1', 'E7b9'), ('1', 'E7b9'), ('1', 'A7b9'), ('1', 'A7b9'), ('1', 'D7b9'), ('1', 'D7b9'), ('2', 'G7#5'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7')]","[65.0, 62.0, 60.0, 55.0, 58.0, 66.0, 61.0, 57.0, 59.0, 64.0]"
