,tune,chords,notes
39,39,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]","[81.0, 78.0, 82.0, 82.0, 79.0, 78.0, 77.0, 70.0, 70.0, 72.0, 70.0, 68.0, 66.0, 60.0]"
40,40,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]","[60.0, 63.0, 66.0, 65.0, 60.0, 58.0, 57.0, 60.0, 64.0, 66.0, 68.0, 65.0, 62.0, 63.0]"
41,41,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]","[80.0, 77.0, 78.0, 79.0, 81.0, 80.0, 77.0, 74.0, 72.0, 70.0, 67.0, 69.0, 67.0, 64.0, 62.0]"
42,42,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]","[65.0, 60.0, 63.0, 62.0, 65.0, 67.0, 65.0, 64.0, 64.0, 69.0, 67.0, 65.0, 65.0, 65.0]"
43,43,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]","[62.0, 64.0, 69.0, 61.0, 60.0, 63.0, 66.0, 59.0, 62.0, 65.0, 68.0, 75.0, 79.0]"
44,44,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]","[70.0, 70.0, 69.0, 68.0, 66.0, 67.0, 72.0, 75.0, 72.0, 75.0, 70.0, 72.0, 70.0]"
45,45,"[('1', 'Em7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em7'), ('2', 'A7'), ('2', 'Ab7#9'), ('2', 'Gmaj7'), ('2', 'Em7'), ('2', 'Am7b5'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abdim7'), ('2', 'Ab7b5'), ('4', 'Abm7'), ('4', 'Db7')]","[58.0, 62.0, 56.0, 67.0, 68.0, 70.0, 73.0, 74.0, 73.0, 72.0, 68.0, 69.0, 70.0, 71.0, 70.0]"
46,46,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm7'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Dm7')]","[70.0, 67.0, 69.0, 72.0, 71.0, 72.0, 70.0, 66.0, 70.0, 67.0, 68.0, 67.0, 63.0, 60.0, 56.0]"
47,47,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]","[64.0, 60.0, 57.0, 56.0]"
48,48,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]","[70.0, 69.0, 67.0, 65.0, 62.0, 60.0, 59.0, 57.0, 58.0, 60.0, 58.0, 57.0, 60.0, 56.0, 53.0, 50.0, 52.0, 54.0, 55.0, 59.0, 62.0, 65.0, 69.0]"
