,OTL,COM,ODT,meta,parts,chords
904,One By One,"Shorter, Wayne",1963,"['OTL: One By One', 'COM: Shorter, Wayne', 'ODT: 1963']","['Intro', 'Intro', 'A', 'A', 'B', 'A2']","[{'meta': ['*>Intro\n', '*M4/4\n', '*g:\n'], 'bars': [['B-:maj7'], ['B-:maj7'], ['B-:maj7']]}, {'meta': ['*>A\n'], 'bars': [['Ah7', 'D7b13'], ['G:min7'], ['C:min7', 'F7'], ['B-:maj7'], ['Ah7', 'A-7'], ['G:min7', 'G:min7/F'], ['Eh7', 'E-7', 'D7'], ['G:min7']]}, {'meta': ['*>B\n'], 'bars': [['E7', 'A7'], ['D:min7', 'Bh7'], ['Eh7', 'A7b9'], ['D:min7', 'B-7'], ['A7', 'A-7'], ['G:min7', 'B-7/F'], ['Eh7', 'E-7', 'D7'], ['G:min7']]}, {'meta': ['*>A2\n'], 'bars': [['Ah7', 'D7b13'], ['G:min7'], ['C:min7', 'F7'], ['B-:maj7'], ['Ah7', 'A-7'], ['G:min7', 'G:min7/F'], ['Eh7', 'E-7', 'D7'], ['G:min7']]}]"
905,I Can't Get Started,"Duke, Vernon",1935,"[""OTL: I Can't Get Started"", 'COM: Duke, Vernon', 'ODT: 1935']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7', 'A:min7'], ['D:min7', 'G7'], ['B:min7', 'E7', 'B-:min7', 'E-7'], ['A:min7', 'D7', 'A-:min7', 'D-7'], ['C:maj7', 'A:min7'], ['D:min7', 'G7b9']]}, {'meta': ['*>N1\n'], 'bars': [['E7', 'A7'], ['D7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C:maj7'], ['C:maj7']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'A7'], ['E:min7', 'A7'], ['D:maj7'], ['D:maj7'], ['D:min7', 'G7'], ['D:min7', 'G7'], ['E:min7', 'E-o7'], ['D:min7', 'G7sus']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'A:min7'], ['D:min7', 'G7'], ['B:min7', 'E7', 'B-:min7', 'E-7'], ['A:min7', 'D7', 'A-:min7', 'D-7'], ['C:maj7', 'A7#5'], ['D:min7', 'G7'], ['C6', 'A7'], ['D7', 'G7']]}]"
906,Turnaround,"Coleman, Ornette",1959,"['OTL: Turnaround', 'COM: Coleman, Ornette', 'ODT: 1959']",['/'],[]
907,"Flower Is A Lovesome Thing, A","Strayhorn, Billy",1944,"['OTL: Flower Is A Lovesome Thing, A', 'COM: Strayhorn, Billy', 'ODT: 1944']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*D-:\n'], 'bars': [['B7#11'], ['B7#11'], ['B7#11'], ['B7#11'], ['B-7b13', 'E-7'], ['A-7b13', 'D-7'], ['D:maj7', 'E-7', 'D^'], ['D-6']]}, {'meta': ['*>B\n'], 'bars': [['E-:min7', 'A-7#5'], ['D-:maj7'], ['E:min7', 'A7b9'], ['D:maj7'], ['G#h7', 'C#7#5'], ['D:maj7'], ['A-7#11', 'G7#11'], ['G-:maj7', 'A-7#11']]}, {'meta': ['*>A2\n'], 'bars': [['B7#11'], ['B7#11'], ['B7#11'], ['B7#11'], ['B-7b13', 'E-7'], ['A-7b13', 'D-7'], ['D:maj7', 'E-7', 'D^'], ['D-6']]}]"
908,Crosscurrent,"Tristano, Lennie",1949,"['OTL: Crosscurrent', 'COM: Tristano, Lennie', 'ODT: 1949']","['A', 'B', 'C', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7', 'D7#5'], ['G:min7', 'C7'], ['A:min7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7', 'F7'], ['B-:maj7', 'Bo7'], ['C7sus', 'C7'], ['F:maj7', 'C7#11']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7', 'A-7'], ['G:min7', 'C7'], ['F6', 'D7b9'], ['G:min7', 'C7'], ['F:maj7', 'F7'], ['C7#11(B-:maj7)', 'C7#11(Bo7)'], ['C7#11(B-:maj7)', 'C7#11(Bo7)'], ['F:maj7#11']]}, {'meta': ['*>C\n'], 'bars': [['B-:min7'], ['A:maj7#11'], ['A-:min7'], ['G:maj7#11'], ['G-:maj7'], ['B7', 'D7'], ['G:min7'], ['C7#11']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7', 'D7b9'], ['G:min7', 'C7'], ['A:min7', 'D7b9'], ['G:min7', 'C7'], ['F:maj7', 'F7'], ['C7#11(B-:maj7)', 'C7#11(Bo7)'], ['C7#11(B-:maj7)', 'C7#11(Bo7)'], ['F:maj7#11', 'C7#5']]}]"
909,My Lucky Star," Henderson, Ray",1928,"['OTL: My Lucky Star', 'COM1: DeSylva, B.G.', 'COM2: Brown, Lew', 'COM3: Henderson, Ray', 'ODT: 1928']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F6'], ['C7#5'], ['F6', 'C7#5'], ['C7#5'], ['F:maj7'], ['A:min7', 'D7b9'], ['G:min11'], ['C7'], ['G:min7'], ['G:min:maj7'], ['G:min7', 'G:min:maj7'], ['G:min:maj7', 'G:min9'], ['D:min7'], ['G7'], ['C7sus'], ['C7']]}, {'meta': ['*>B\n'], 'bars': [['F6'], ['C7#5'], ['F6', 'C7#5'], ['C7#5'], ['Ah7'], ['D7', 'A-9'], ['G:min7', 'D7'], ['G:min7'], ['G:min7'], ['E-9#11'], ['D:min7'], ['G9'], ['G:min7'], ['C13'], ['F6'], ['G:min7', 'C7']]}]"
910,C.T.A.,"Heath, Jimmy",1953,"['OTL: C.T.A.', 'COM: Heath, Jimmy', 'ODT: 1953']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-7', 'A-7'], ['G-7', 'F7'], ['B-7', 'A-7'], ['G-7', 'F7'], ['B-6', 'G7'], ['C:min7', 'F7']]}, {'meta': ['*>N1\n'], 'bars': [['D:min7', 'G7'], ['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['B-6', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7#9'], ['D7#9'], ['G7'], ['G7'], ['C7#9'], ['C7#9'], ['F7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-7', 'A-7'], ['G-7', 'F7'], ['B-7', 'A-7'], ['G-7', 'F7'], ['B-6', 'G7'], ['C:min7', 'F7'], ['B-6', 'F7'], ['B-6']]}]"
911,Be My Love,"Brodszky, Nikolaus",1950,"['OTL: Be My Love', 'COM: Brodszky, Nikolaus', 'ODT: 1950']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['D-/C'], ['C:maj7'], ['Bh7'], ['E7b9'], ['A:min7'], ['F#h7'], ['B7b9'], ['E7b9'], ['A7b9', 'D:min7'], ['D:min7'], ['E-o7', 'E:min7'], ['E:min7'], ['A:min7'], ['D7'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['D-/C'], ['C:maj7'], ['Bh7'], ['E7b9'], ['A:min7'], ['F#h7'], ['B7b9'], ['E7b9'], ['A7b9', 'D:min7'], ['D:min7'], ['E-o7', 'E:min7'], ['A:min7'], ['D:min7'], ['G7'], ['B-7#11'], ['A7b13'], ['D:min7'], ['G7'], ['C6'], ['C6']]}]"
912,Lazybones,"Carmichael, Hoagy",1933,"['OTL: Lazybones', 'COM: Carmichael, Hoagy', 'LYR: Mercer, Johnny', 'ODT: 1933']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7', 'F7'], ['C:maj7', 'F7'], ['C:maj7', 'F7', 'G7'], ['C6', 'C7/B-'], ['A7'], ['D:min7'], ['A-7b5', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['C6', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['F6'], ['F6'], ['C:maj7', 'G7'], ['C:maj7'], ['F7', 'E-7'], ['D7', 'G7'], ['D7'], ['D:min7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'F7'], ['C:maj7', 'F7'], ['C:maj7', 'F7', 'G7'], ['C6', 'C7/B-'], ['A7'], ['D:min7'], ['A-7b5', 'G7'], ['C6', 'D:min7', 'G7']]}]"
913,Ain't Misbehavin',"Waller, Fats",1929,"[""OTL: Ain't Misbehavin'"", 'COM: Waller, Fats', 'ODT: 1929']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C6', 'A7'], ['D:min7', 'G7'], ['C6', 'C7/E'], ['F6', 'F:min6'], ['C6/E', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['E7', 'A7'], ['D7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6', 'F:min6'], ['C6', 'E7']]}, {'meta': ['*>B\n'], 'bars': [['A:min'], ['F7'], ['D7'], ['A7'], ['G6', 'E7'], ['A:min7', 'D7'], ['G6', 'A7'], ['D7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C6', 'A7'], ['D:min7', 'G7'], ['C6', 'C7/E'], ['F6', 'F:min6'], ['C6/E', 'A7'], ['D:min7', 'G7'], ['C6', 'A:min7'], ['D:min7', 'G7']]}]"
914,Bemsha Swing,"Monk, Thelonious",1952,"['OTL: Bemsha Swing', 'COM: Monk, Thelonious', 'ODT: 1952']",['/'],[]
915,My Song,"Jarrett, Keith",1978,"['OTL: My Song', 'COM: Jarrett, Keith', 'ODT: 1978']","['Intro', 'Intro', 'Sign', 'A', 'N1', 'ToCod', 'Sign', 'A', 'N2', 'B', 'Coda', 'Sign', 'A', 'N1', 'Coda']","[{'meta': ['*>Intro\n', '*M4/4\n', '*C:\n'], 'bars': [['C'], ['C'], ['D-:maj7'], ['D:min7', 'G7sus']]}, {'meta': ['*>Sign\n'], 'bars': []}, {'meta': ['*>A\n'], 'bars': [['C'], ['C'], ['D:min'], ['D:min'], ['G7sus'], ['G7'], ['F#h7'], ['F#7b5'], ['F:maj7', 'F/E'], ['D:min7', 'D#o'], ['E:min7'], ['A:min7'], ['D:min7'], ['C/E'], ['F:min7']]}, {'meta': ['*>N1\n'], 'bars': []}, {'meta': ['*>ToCod\n'], 'bars': []}, {'meta': ['*>N2\n'], 'bars': [['B-7sus', 'B-7']]}, {'meta': ['*>B\n'], 'bars': [['E-', 'E-/D'], ['C:min7'], ['D7#9'], ['G7b9'], ['A-:maj7', 'A:min'], ['A:min', 'D7b9'], ['G:min7'], ['C7b9#11'], ['C/D-', 'D-/C'], ['B-:min7', 'B-:min7/A-'], ['G7b9b13'], ['A:min7'], ['B-'], ['F'], ['G7sus'], ['G7', '! D.S. al Coda']]}, {'meta': ['*>Coda\n'], 'bars': [['C'], ['C'], ['D-:maj7'], ['D:min7', 'G7sus']]}]"
916,Laura,"Raskin, David",1945,"['OTL: Laura', 'COM: Raskin, David', 'ODT: 1945']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['A:min9'], ['D7b9'], ['G6'], ['G6'], ['G:min9'], ['C7b9'], ['F:maj7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['F:min7'], ['B-7sus', 'B-7b9'], ['E-:maj7'], ['C:min7'], ['Ah7', 'D7b5'], ['D7b5', 'D7'], ['G:maj7'], ['E7b13']]}, {'meta': ['*>A2\n'], 'bars': [['A:min9'], ['D7b9'], ['G6'], ['G6'], ['G:min9'], ['C7b9'], ['F:maj7'], ['F:maj7']]}, {'meta': ['*>C\n'], 'bars': [['F:min7', 'F:min7/E-'], ['Dh7', 'G7b9'], ['C:maj7', 'A:min7'], ['D7'], ['D7b9'], ['G7'], ['C6'], ['Bh7', 'E7b9']]}]"
917,Along Came Betty,"Golson, Benny",1958,"['OTL: Along Came Betty', 'COM: Golson, Benny', 'ODT: 1958', '(Art Blakey recording seems to be the first)']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*A-:\n'], 'bars': [['B-:min7'], ['B:min7', 'E7'], ['B-:min7'], ['B:min7', 'E7'], ['A:maj7'], ['A-7'], ['G:maj7'], ['G-7'], ['F#:min7'], ['G:min7', 'C7'], ['F#:min7'], ['G:min7', 'C7'], ['F:maj7'], ['A7b9'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['F7'], ['Ah7', 'D7b9'], ['G:min7', 'G:min7/F'], ['Eh7'], ['A7b9'], ['F:min7'], ['B-7']]}, {'meta': ['*>C\n'], 'bars': [['B-:min7'], ['B:min7', 'E7'], ['B-:min7'], ['B:min7', 'E7'], ['Ch7'], ['F7b13'], ['B-h7'], ['E-7#9'], ['A-:maj7'], ['B:min7', 'E7']]}]"
918,Scrapple From The Apple,"Parker, Charlie",1947,"['OTL: Scrapple From The Apple', 'COM: Parker, Charlie', 'ODT: 1947']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7'], ['C7'], ['G:min7'], ['C7'], ['F:maj7', 'F7/A'], ['B-:maj7', 'Bo7']]}, {'meta': ['*>N1\n'], 'bars': [['F:maj7', 'G:min7'], ['A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['F:maj7', 'C7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['A7'], ['A7'], ['D7'], ['D7'], ['G7'], ['G7'], ['C7'], ['C7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7'], ['C7'], ['G:min7'], ['C7'], ['F:maj7', 'F7/A'], ['B-:maj7', 'Bo7'], ['F:maj7', 'G:min7'], ['A:min7', 'D7']]}]"
919,Three Little Words,"Ruby, Harry",1930,"['OTL: Three Little Words', 'COM: Ruby, Harry', 'ODT: 1930']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7'], ['C:maj7'], ['C:maj7'], ['E-:min7', 'A-7'], ['D:min7'], ['G7'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['G:min7'], ['C7sus'], ['C7'], ['F:maj7'], ['F:maj7'], ['B-7', 'A7'], ['A-7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7'], ['C:maj7'], ['C:maj7'], ['E-:min7', 'A-7'], ['D:min7'], ['G7'], ['D:min7'], ['G7']]}]"
920,Sandu,"Brown, Clifford",1955,"['OTL: Sandu', 'COM: Brown, Clifford', 'ODT: 1955']",['/'],[]
921,Wave,"Jobim, Antonio Carlos",1967,"['OTL: Wave', 'COM: Jobim, Antonio Carlos', 'ODT: 1967']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*D:\n'], 'bars': [['D:maj7'], ['B-o7'], ['A:min7'], ['D7b9'], ['G:maj7'], ['G:min6'], ['F#13', 'F#7b13'], ['B9', 'B7b9'], ['E9'], ['B-7', 'A7'], ['D:min7', 'G7'], ['D:min7', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7/B-'], ['C7/B-'], ['F:maj7/A'], ['F:maj7/A'], ['F:min7/A-'], ['B-7/A-'], ['E-:maj7/G'], ['A7b9']]}, {'meta': ['*>A2\n'], 'bars': [['D:maj7'], ['B-o7'], ['A:min7'], ['D7b9'], ['G:maj7'], ['G:min6'], ['F#13', 'F#7b13'], ['B9', 'B7b9'], ['E9'], ['B-7', 'A7'], ['D:min7', 'G7'], ['D:min7', 'G7']]}]"
922,Home Cookin',"Silver, Horace",1957,"[""OTL: Home Cookin'"", 'COM: Silver, Horace', 'ODT: 1957']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F6', 'G:min7'], ['A:min7', 'D:min7'], ['G7', 'A:min7'], ['B-:min7', 'E-7'], ['A:min7', 'D7'], ['G:min7', 'C7']]}, {'meta': ['*>N1\n'], 'bars': [['A:min7', 'D7'], ['G:min7', 'C7']]}, {'meta': ['*>N2\n'], 'bars': [['G:min7', 'C7'], ['F']]}, {'meta': ['*>B\n'], 'bars': [['B-:min7', 'E-7'], ['A-6'], ['B-:min7', 'E-7'], ['A-6'], ['D:min7', 'G7'], ['C6'], ['D:min7(D7)', 'G7'], ['C6(G:min7)', 'C6(C7)']]}, {'meta': ['*>A2\n'], 'bars': [['F6', 'G:min7'], ['A:min7', 'D:min7'], ['G:min7', 'A:min7'], ['B-:min7', 'E-7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['G:min7', 'C7'], ['F6']]}]"
923,Some Other Time,"Bernstein, Leonard",1944,"['OTL: Some Other Time', 'COM: Bernstein, Leonard', 'ODT: 1944']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7', 'G7sus'], ['C:maj7', 'G7sus'], ['C:maj7', 'G7sus'], ['C^', 'C^/G', 'F#h', 'F:min7'], ['E:min7', 'A7b9'], ['D:min7', 'G7sus']]}, {'meta': ['*>N1\n'], 'bars': [['C:maj7', 'G7sus'], ['C:maj7', 'G7sus']]}, {'meta': ['*>N2\n'], 'bars': [['C:maj7', 'G7sus'], ['C:maj7', 'E-7#9']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7', 'E-7b9'], ['A-:maj7', 'E-7b9'], ['A-:maj7', 'E-7b9'], ['A-:maj7', 'E-7b9'], ['A-:maj7', 'G7b13'], ['C^', 'E:min7', 'A:min7', 'A7'], ['A-7#11'], ['D:min7', 'G13']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'G7sus'], ['C:maj7', 'G7sus'], ['C:maj7', 'G7sus'], ['C^', 'C^/G', 'F#h', 'F:min7'], ['E:min7', 'A7b9'], ['D:min7', 'G7sus'], ['C:maj7', 'G7sus'], ['C:maj7', 'G7sus']]}]"
924,It's A Good Day,"Lee, Peggy",1947,"[""OTL: It's A Good Day"", 'COM: Lee, Peggy', 'ODT: 1947']","['A', 'B', 'C', 'D']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-6'], ['F:min7'], ['G:min7'], ['C:min7'], ['F:min7'], ['B-7'], ['E-6'], ['E-6', 'B-7#5'], ['E-6'], ['F:min7'], ['G:min7'], ['C:min7'], ['F:min7'], ['B-7'], ['E-6'], ['B-7#5']]}, {'meta': ['*>B\n'], 'bars': [['E-6'], ['F:min7'], ['G:min7'], ['C:min7'], ['F:min7'], ['B-7'], ['E-6'], ['E-6'], ['E-6', 'B-7#5'], ['E-6'], ['E-6'], ['C:min7'], ['F:min7'], ['B-7'], ['E-6'], ['E-6']]}, {'meta': ['*>C\n'], 'bars': [['E-7'], ['E-7'], ['A-'], ['A-'], ['F7'], ['F7'], ['B-7'], ['B-7', 'B-7#5'], ['E-6'], ['Eo7'], ['B-7/F'], ['Eo7'], ['B-7'], ['Eo7'], ['B-7'], ['B-7', 'B-7#5']]}, {'meta': ['*>D\n'], 'bars': [['E-6'], ['F:min7'], ['G:min7'], ['C:min7'], ['F:min7'], ['F:min7', 'B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
925,Jeepers Creepers,"Warren, Harry",1938,"['OTL: Jeepers Creepers', 'COM: Warren, Harry', 'ODT: 1938']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['C:min7', 'F7'], ['B-6', 'G:min7'], ['C:min7', 'F7'], ['B-6', 'G:min7'], ['C:min7', 'F7'], ['B-6', 'G:min7'], ['C:min7', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['F:min7', 'B-7'], ['E-6', 'C:min7'], ['F:min7', 'B-7'], ['E-6'], ['G:min7', 'C7'], ['F:maj7', 'D:min7'], ['G:min7', 'C7'], ['C:min7', 'F7']]}, {'meta': ['*>A2\n'], 'bars': [['C:min7', 'F7'], ['B-6', 'G:min7'], ['C:min7', 'F7'], ['B-6', 'G:min7'], ['C:min7', 'F7'], ['A-7', 'G7'], ['C:min7', 'F7'], ['B-6', 'G7'], ['C:min7', 'F7'], ['B-6']]}]"
926,Isn't It A Pity,"Gershwin, George",1933,"[""OTL: Isn't It A Pity"", 'COM: Gershwin, George', 'ODT: 1933']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C:maj7', 'A:min7'], ['F#h7', 'B7b9'], ['E:min7', 'A7'], ['D:min7', 'G7'], ['C:maj7', 'G:min7', 'C7'], ['F:maj', 'E:min7', 'D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['E:min7', 'A7b13'], ['D:min7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6'], ['F#h7', 'B7b9#9']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'C#7b13'], ['F#h7', 'B7b9'], ['E:min7'], ['A7', 'D7sus'], ['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['G7sus'], ['F7#11', 'D-7#11']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'A:min7'], ['F#h7', 'B7b9'], ['E:min7', 'A7'], ['D:min7', 'G7'], ['C:maj7', 'G:min7', 'C7'], ['F:maj', 'E:min7', 'D:min7', 'G7'], ['C6', 'A:min7']]}]"
927,Triste,"Jobim, Antonio Carlos",1967,"['OTL: Triste', 'COM: Jobim, Antonio Carlos', 'ODT: 1967']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*A:\n'], 'bars': [['A:maj7'], ['A:maj7'], ['F:maj7#11'], ['F:maj7#11'], ['A:maj7'], ['A:maj7'], ['C#:min7'], ['F#7b9'], ['B:min7'], ['G#h7', 'C#7b9'], ['F#:min7'], ['G#7#9'], ['C#:maj7'], ['D#:min7', 'G#7'], ['C#:maj7', 'F#7'], ['B:min7', 'E7']]}, {'meta': ['*>B\n'], 'bars': [['A:maj7'], ['A:maj7'], ['A:min7'], ['D7'], ['A:maj7'], ['A:maj7'], ['E:min7'], ['A7'], ['D:maj7'], ['G7'], ['C#:min7', 'F#7'], ['B7'], ['B:min7'], ['E7'], ['A:min7', 'D7'], ['A:min7', 'D7'], ['A:min7', 'D7'], ['A:min7', 'D7']]}]"
928,You Better Go Now," Graham, Irving",1936,"['OTL: You Better Go Now', 'COM1: Reichner, S. Bickley', 'COM2: Graham, Irving', 'ODT: 1936']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7', 'B-7#5'], ['E-:maj7', 'Eo7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['E-:maj7', 'B-7#5'], ['E-:maj7', 'Eo7'], ['F:min7', 'B-7'], ['B-7']]}, {'meta': ['*>B\n'], 'bars': [['E-:maj7', 'Eo7'], ['F:min7', 'B-7'], ['E-', 'F:min7', 'G:min7', 'A-'], ['F:min7', 'B-7'], ['E-:maj7', 'Eo7'], ['F:min7', 'B-7'], ['E-:maj7', 'F7'], ['F:min7', 'B-7']]}, {'meta': ['*>C\n'], 'bars': [['E-:maj7', 'B-7#5'], ['E-:maj7', 'Eo7'], ['F:min7', 'B-7'], ['F:min7', 'B-7'], ['E-:maj7', 'C7'], ['F:min7', 'B-7'], ['E-', 'A-', 'E-:maj7'], ['E-:maj7']]}]"
929,Mona Lisa," Evans, Ray",1950,"['OTL: Mona Lisa', 'COM1: Livingston, Jay', 'COM2: Evans, Ray', 'ODT: 1950']","['A', 'B', 'ToCod', 'A', 'B', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-6'], ['E-6'], ['E-:maj7', 'C7b9'], ['F:min7', 'B-7'], ['F:min7'], ['B-7'], ['F:min7', 'B-7'], ['E-:maj7', 'B-7']]}, {'meta': ['*>B\n'], 'bars': [['E-6'], ['E-6'], ['E-:maj7', 'E-7'], ['A-:maj7'], ['A-:min7', 'D-7'], ['E-:maj7', 'C7b9'], ['F:min7', 'B-7'], ['E-:maj7', 'E-7'], ['A-:maj7', 'Ao7'], ['G:min7', 'C7b9']]}, {'meta': ['*>ToCod\n'], 'bars': [['E-6', 'F:min7', 'B-7']]}, {'meta': ['*>Coda\n'], 'bars': [['E-6'], ['Fh7', 'B-7b9'], ['E-6'], ['E-6']]}]"
930,S' Wonderful,"Gershwin, George",1927,"[""OTL: S' Wonderful"", 'COM: Gershwin, George', 'ODT: 1927']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['E-:maj7'], ['Eo7'], ['Eo7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-6', 'C:min7'], ['F:min7', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['E-6'], ['A:min7', 'D7b9']]}, {'meta': ['*>B\n'], 'bars': [['G:maj7', 'E:min7'], ['A:min7', 'D7'], ['B:min7', 'E:min7'], ['A:min7', 'D7'], ['G7'], ['C7'], ['F7'], ['B-7', 'B-7b9']]}, {'meta': ['*>A2\n'], 'bars': [['E-:maj7'], ['E-:maj7'], ['G-o7'], ['G-o7'], ['F:min7'], ['B-7'], ['E-6', 'C:min7'], ['F:min7', 'B-7']]}]"
931,Come Sunday,"Ellington, Duke",1943,"['OTL: Come Sunday', 'COM: Ellington, Duke', 'ODT: 1943']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['F7'], ['E-7#11'], ['F7', 'G-7'], ['G7'], ['C:min7'], ['F7'], ['B-', 'E-6/B-'], ['B-o7', 'B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7', 'E-7'], ['D7'], ['G:min7'], ['C7'], ['F7', 'C:min7'], ['F7', 'D7#9'], ['C9'], ['F7#5']]}, {'meta': ['*>A2\n'], 'bars': [['F7'], ['E-7#11'], ['F7', 'G-7'], ['G7'], ['C:min7'], ['F7'], ['B-', 'E-6/B-'], ['B-o7', 'B-6']]}]"
